汽车品牌,最终结果
DS,豪华
Fisker,豪华
GMC,豪华
Genesis,豪华
Jeep,Jeep
QQ,QQ
SWM,SWM
VOLVO,豪华
WEY,WEY
一汽,一汽
一汽-大众,一汽-大众
一汽-大众奥迪,豪华
一汽丰田,一汽丰田
一汽森雅,一汽森雅
一汽解放,其他
三菱,三菱
上海大众,上海大众
世爵,豪华
东南汽车,东南汽车
东风,东风
东风小康,东风小康
东风悦达起亚,东风悦达起亚
东风日产,东风日产
东风本田,东风本田
东风标致,东风标致
东风雪铁龙,东风雪铁龙
东风风光,东风风光
东风风神,东风风神
中兴,其他
中华,中华
丰田,丰田
乔治,豪华
九龙,其他
云度,云度
云雀汽车,其他
五十铃,其他
五菱,五菱
众泰,众泰
依维柯,其他
保时捷,豪华
克莱斯勒,豪华
全球鹰,全球鹰
兰博基尼,豪华
凯美瑞,凯美瑞
凯翼,其他
凯迪拉克,豪华
别克,别克
前途,其他
力帆,其他
劳斯莱斯,豪华
北京,北京
北京汽车,北京汽车
北京现代,北京现代
北汽新能源,北汽新能源
华凯,其他
华利汽车,其他
华晨,其他
华晨鑫源,其他
华普,其他
华泰,其他
华菱星马,其他
华骐,其他
卡威,其他
双环,其他
双龙,其他
合众,合众
合创,合创
吉利,吉利
吉奥,其他
吉普,吉普
名爵,名爵
君马,其他
启晨,启晨
启辰,启辰
哈弗,哈弗
哈飞,其他
国能,其他
国金,其他
大乘,其他
大众,大众
大众东风日产,其他
大通,其他
天际汽车,天际汽车
奇点汽车,奇点汽车
奇瑞,奇瑞
奔腾,奔腾
奔驰,豪华
奥迪,豪华
如虎,豪华
威兹曼,豪华
威旺,其他
威马汽车,威马汽车
威麟,其他
宇通,其他
安凯客车,其他
宝沃,宝沃
宝腾,宝腾
宝马,豪华
宝马MINI,豪华
宝骏,宝骏
宾利,豪华
小鹏汽车,小鹏汽车
巴博斯,豪华
幻速,其他
广汽三菱,广汽三菱
广汽丰田,广汽丰田
广汽传祺,广汽传祺
广汽新能源,广汽新能源
广汽本田,广汽本田
广汽集团,广汽集团
庆铃,其他
开利,其他
开沃汽车,其他
开瑞,其他
御捷,其他
恒天,其他
悍马,豪华
成功,其他
成都大运,其他
捷豹,豪华
捷达,捷达
捷途,捷途
摩根,豪华
斯巴鲁,斯巴鲁
斯柯达,斯柯达
新凯,其他
新特汽车,其他
日产,日产
日野,其他
昌河,其他
星途,其他
星驰,其他
本田,本田
本田讴歌,豪华
极星,极星
林肯,豪华
标致,标致
梅赛德斯-奔驰,豪华
欧宝,其他
欧拉,欧拉
欧联,其他
正道汽车,其他
比亚迪,比亚迪
比速,其他
永源,其他
汇众,其他
汉腾,汉腾
江淮,江淮
江铃,其他
沃尔沃,其他
法拉利,豪华
海格,其他
海狮,其他
海马,海马
清源汽车,其他
清行,其他
潍柴欧睿,其他
潍柴英致,其他
特斯拉,豪华
猎豹,豪华
玛莎拉蒂,豪华
现代,现代
理念,理念
理想,豪华
瑞麒,其他
电咖,其他
知豆,其他
福汽启腾,其他
福特,福特
福田,其他
福迪,其他
福铃,其他
精灵,其他
红旗,豪华
红星汽车,其他
纳智捷,纳智捷
绿驰,其他
罗伦士,豪华
腾势,豪华
英菲尼迪,豪华
荣威,荣威
莲花,莲花
菲亚特,菲亚特
蔚来,豪华
裕路,其他
观致,观致
讴歌,讴歌
起亚,起亚
路特斯,豪华
路虎,豪华
车驰,其他
迈凯伦,豪华
迈凯轮,豪华
迈迈,其他
进口大众,进口大众
进口现代,进口现代
进口起亚,进口起亚
远程汽车,其他
道奇,其他
道达,其他
郑州日产,郑州日产
野马,野马
金旅,其他
金杯,其他
金龙,其他
钧天汽车,其他
铃木,其他
银隆新能源,其他
长城,长城
长安,长安
长安欧尚,长安欧尚
长安汽车,长安汽车
长安跨越,其他
长安轻型车,其他
长江汽车,其他
阿尔法,豪华
阿尔法-罗密欧,豪华
阿斯顿,豪华
陆地方舟,其他
陆风,陆风
雪佛兰,雪佛兰
雪铁龙,雪铁龙
雷丁,其他
雷克萨斯,豪华
雷诺,雷诺
领克,领克
领志,其他
领途汽车,其他
风神,风神
风行,风行
马自达,马自达
驭胜,其他
驰鹏,其他
骐铃,其他
魏派,魏派
黄海,其他
